student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,midterm_1,midterm_2,final_exam,project
35582,8,8,8,7,8,7,8,77,67,79,83
89148,10,5,8,9,9,7,8,88,86,86,84
20508,10,7,7,9,7,9,8,80,79,85,87
52136,9,7,6,10,9,8,8,86,79,82,86
91559,9,9,9,10,9,10,8,91,86,86,89
69766,9,8,10,10,10,10,10,91,95,95,95
58371,8,8,10,NA,9,10,8,96,95,92,96
60397,8,10,8,7,10,8,9,74,85,83,80
94367,10,9,10,9,NA,10,10,95,94,94,97
18523,10,10,10,9,10,10,10,97,98,99,99
90027,10,8,9,9,8,9,9,93,88,95,96
46079,9,10,10,10,10,9,10,98,99,96,98
34711,10,9,9,10,9,NA,9,95,96,95,92
76953,10,10,9,10,10,9,10,96,95,91,94
45682,9,9,10,10,10,10,10,98,95,93,95
38091,10,10,9,9,10,10,10,99,96,97,92
48592,8,10,9,10,9,9,10,96,98,95,92
77395,7,6,9,9,9,8,9,85,84,82,79
38922,10,10,9,9,10,9,10,94,96,94,96
37282,10,10,10,NA,10,9,10,96,96,95,96
84002,9,9,10,10,10,10,10,97,94,96,96
21391,10,9,10,9,9,10,8,95,94,94,99
61645,10,9,9,9,8,8,9,86,92,86,88
66218,8,8,8,9,6,8,10,86,91,87,83
24809,9,10,10,10,9,10,10,92,98,90,92
70707,10,10,10,9,9,10,10,100,96,100,99
29714,9,9,10,10,10,10,9,95,92,92,95
69129,9,10,9,10,10,10,9,96,93,91,90
