student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,hw_9,midterm_1,midterm_2,final_exam,project
55817,10,10,9,9,10,10,10,9,8,97,96,93,93
32099,10,9,10,9,10,9,10,10,10,90,93,93,93
40295,10,10,9,9,10,9,9,10,10,95,91,97,97
54195,10,9,9,6,9,9,9,9,8,95,96,91,90
15297,10,8,9,10,10,9,10,9,10,94,92,93,87
81786,7,8,6,6,NA,6,5,7,7,70,73,77,76
49747,10,9,8,8,8,8,6,9,7,79,83,77,84
78226,10,9,9,10,9,10,10,9,10,95,95,97,93
10219,9,9,10,7,10,9,8,9,10,89,84,88,89
31235,9,8,10,9,9,9,10,10,10,96,97,94,93
72988,8,10,8,9,NA,10,8,10,8,90,87,89,82
81455,10,10,9,10,10,10,10,10,9,97,98,96,100
97585,10,10,9,10,10,10,10,10,9,88,93,98,93
91351,7,6,9,9,4,8,5,8,9,68,81,76,75
40319,8,9,10,9,8,NA,7,10,8,86,88,85,89
74475,8,10,9,8,10,9,9,9,9,87,90,93,88
95814,10,8,10,9,9,10,9,10,10,97,96,96,95
43469,9,10,8,10,10,10,9,8,10,95,98,99,98
72660,5,7,9,6,7,8,9,5,8,75,74,83,79
40336,8,10,10,7,9,10,9,10,9,89,93,95,88
36620,9,9,7,10,10,8,8,8,10,85,92,93,95
52114,10,NA,10,10,10,10,10,9,10,98,98,99,99
86923,10,9,9,9,7,10,8,8,9,86,88,91,91
47583,9,10,9,9,10,10,9,10,9,90,96,92,93
97215,10,10,10,10,10,10,10,10,10,99,100,100,99
64372,10,10,10,10,10,9,10,9,10,90,86,91,91
44015,9,8,10,10,10,9,9,9,10,77,83,87,84
21689,9,8,4,9,8,8,8,8,7,72,81,74,77
57056,8,10,9,10,7,9,9,10,10,90,85,91,86
15455,10,6,6,8,7,9,10,7,8,87,87,78,83
35251,10,9,10,10,10,9,9,8,8,84,87,91,86
83848,9,8,7,10,10,8,7,8,10,93,88,87,86
98890,7,7,8,9,8,7,9,9,7,79,72,76,69
24844,10,10,10,9,10,10,10,10,10,98,97,98,96
69266,9,10,8,9,9,7,9,9,10,87,87,87,84
