student_id,hw_1,hw_2,hw_3,hw_4,hw_5,midterm_1,midterm_2,final_exam,project
88275,8,6,8,10,6,88,83,80,84
99752,8,10,10,10,7,84,88,88,87
81485,10,9,9,9,9,86,88,93,93
34888,4,5,6,9,7,68,70,58,61
56497,5,8,7,7,7,66,79,68,75
14363,7,7,10,9,9,85,84,82,81
31087,5,8,6,4,8,73,73,77,71
34334,10,9,7,8,8,67,64,69,73
27812,10,10,10,10,9,93,94,95,93
44817,7,NA,10,7,6,72,74,71,65
56204,6,8,5,7,6,52,59,56,51
66325,7,10,10,8,8,85,90,82,87
28642,7,8,8,9,6,71,63,74,65
17457,9,NA,7,9,NA,81,88,90,89
51731,9,10,9,9,10,96,96,93,94
86257,NA,10,8,9,8,89,91,86,93
61402,NA,8,7,NA,6,74,74,73,76
14505,7,6,8,7,5,58,68,63,59
95851,10,10,10,10,9,98,98,98,100
46160,9,9,8,6,10,74,77,85,82
17402,9,9,10,10,10,96,98,97,99
79695,9,8,10,10,9,93,92,95,90
87768,9,9,7,8,6,79,76,73,80
58023,6,8,10,7,10,82,86,87,86
17246,9,10,9,NA,9,93,95,97,93
15395,10,9,10,10,9,90,93,90,90
24644,8,10,NA,9,10,94,92,92,95
40574,8,6,7,8,9,75,80,80,85
41314,NA,8,7,NA,9,80,86,82,78
