student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,midterm_1,midterm_2,final_exam,project
25276,9,7,6,7,9,9,6,7,81,83,78,77
42720,4,2,6,2,4,4,5,4,44,43,45,37
38005,8,9,6,8,7,8,7,7,79,74,79,77
18436,9,8,9,7,10,8,7,6,69,70,60,65
71199,5,3,5,5,3,5,6,5,52,47,53,47
91126,9,9,9,8,8,10,9,9,80,84,74,88
28826,5,7,6,9,8,6,5,6,56,69,60,56
49404,1,3,2,2,2,0,2,2,18,20,26,26
56295,2,3,5,4,7,5,5,5,48,43,54,51
43105,9,6,9,6,10,8,8,4,84,81,80,88
79969,7,6,NA,5,8,8,8,7,62,75,66,76
10962,5,4,4,6,4,6,6,4,61,58,48,51
33211,8,6,8,8,6,6,9,6,67,69,69,70
46513,NA,8,8,8,9,10,8,7,85,88,84,79
18114,5,6,8,7,8,10,8,8,78,79,72,82
80634,4,8,2,6,NA,7,3,2,66,63,60,72
42055,9,6,9,8,10,9,7,8,81,78,76,85
33280,6,8,8,9,9,6,8,9,80,69,73,89
13071,8,8,8,8,7,7,7,9,63,58,57,63
63072,5,5,7,5,5,5,7,5,58,52,55,58
81856,6,6,3,6,4,4,4,5,59,57,48,50
25292,7,6,6,5,6,8,5,8,65,71,66,65
48934,8,8,8,10,9,7,9,9,82,88,87,84
78217,4,4,7,4,5,5,5,2,57,49,52,41
45818,9,7,10,8,10,9,8,7,77,77,84,89
36775,NA,6,4,8,2,4,8,5,59,70,58,61
88725,7,7,5,6,3,6,2,3,43,53,47,55
22571,9,7,10,7,9,8,8,8,88,87,81,81
65861,3,5,5,NA,7,6,6,6,57,58,54,46
95931,8,9,7,10,7,9,9,6,79,87,82,80
38634,9,9,7,9,8,9,10,6,80,86,85,76
37843,8,9,7,7,9,8,8,9,84,79,84,76
75891,3,4,5,5,5,4,4,4,44,45,52,39
85070,7,8,5,10,8,8,8,8,81,82,75,75
